USER_ID,NAME,LATITUDE,LONGITUDE,SLOPE,SLOPE_SHAPE,texture_for_soil_horizon_1,texture_for_soil_horizon_2,texture_for_soil_horizon_3,texture_for_soil_horizon_4,texture_for_soil_horizon_5,texture_for_soil_horizon_6,texture_for_soil_horizon_7,SOIL_PROFILE_AWC
2194,dwkimiti@gmail.com-UHURU SOUTH,0.282390257344,36.8934234884,3%,"LINEAR,LINEAR",SANDY LOAM,SANDY LOAM,SANDY CLAY LOAM,SANDY CLAY,SANDY CLAY,SANDY CLAY LOAM,,12.205354
,,,,,,SAND   :  65.0,,,,,,
,,,,,,SILT   :  25.0,,,,,,
,,,,,,CLAY   :  10.0,,,,,,
,,,,,,BULK   :  1.46,,,,,,
""
""
WISE3_ID,LATITUDE,LONGITUDE,COUNTRY,SOLDEP,FAO_74,USCL,SLOPE,SIM_STAGE_1,SIM_STAGE_2,HONU,TOPDEP,BOTDEP,ORGC,TOTN,CACO3,GYPSUM,PHH2O,PHKCL,PHCACL2,ECE,EXCA,EXMG,EXNA,EXK,EXALUM,EXACID,CECSOIL,BSAT,SAND,SILT,CLAY,GRAVEL,BULKDENS,VMC1,VMC2,VMC3,PROFILE_AWC
KE0025,-2.51666666667,37.7,Kenya,180,Tm,,,0.999188830409,0.985755732539
,,,,,,,,,,1,0,15,31,,,,6.699999809,5.900000095,,0.239999995,16.79999924,4.5,0.600000024,4,0,0,35.29999924,73,72,20,8,,,,,,11.0772689112
,,,,,,,,,,2,15,28,18,,,,7.099999905,6.400000095,,0.209999993,19.89999962,6.400000095,0.5,3.700000048,0,0,35.79999924,85,82,15,3,,,,,,11.0772689112
,,,,,,,,,,3,28,40,15.29999924,,,,7.199999809,6.5,,0.180000007,25.70000076,8.5,0.800000012,4.5,0,0,46.20000076,85,70,25,5,,,,,,11.0772689112
,,,,,,,,,,4,40,60,15.80000019,,,,7.400000095,6.599999905,,0.200000003,29.89999962,10.60000038,1.100000024,3.799999952,0,0,55.90000153,81,59,33,8,,,,,,11.0772689112
,,,,,,,,,,5,60,80,13.89999962,,,,7.900000095,7.199999809,,0.340000004,37.29999924,23.29999924,2.799999952,5.5,0,0,63.09999847,100,60,31,10,,,,,,11.0772689112
,,,,,,,,,,6,80,180,7.200000286,,,,9.100000381,7.599999905,,0.970000029,24.79999924,21.89999962,38.59999847,13.19999981,0,0,57.20000076,100,71,26,2,,,,,,11.0772689112
KE0310,0.35,37.06,Kenya,180,Lo,,,0.999698457248,0.974012872389
,,,,,,,,,,1,0,18,11,,,,6.7,5.8,,,4.6,1.5,0.2,1.4,0.1,0.1,11.2,69,66,18,16,,,,,,9.63489635608
,,,,,,,,,,2,18,44,5,,,,6.7,5.6,,,6.6,2.4,0.2,1.1,0.1,0.1,10.4,99,66,18,16,,,,,,9.63489635608
,,,,,,,,,,3,44,68,3,,,,6.6,5.5,,,8.5,2.4,0.3,0.6,0.1,0.1,16.1,73,50,20,30,,,,,,9.63489635608
,,,,,,,,,,4,68,100,2,,,,6.8,6,,,3.8,1.8,0.3,0.6,0.1,0.1,7.4,88,82,6,12,,,,,,9.63489635608
,,,,,,,,,,5,100,180,1,,,,6.9,6,,,4.2,1.9,0.3,0.4,0.1,0.1,63,11,89,10,1,,,,,,9.63489635608
KE0313,0.4,37.0497222222,Kenya,110,Lc,,,0.999429903727,0.964329049762
