USER_ID,NAME,LATITUDE,LONGITUDE,SLOPE,SLOPE_SHAPE,texture_for_soil_horizon_1,texture_for_soil_horizon_2,texture_for_soil_horizon_3,texture_for_soil_horizon_4,texture_for_soil_horizon_5,texture_for_soil_horizon_6,texture_for_soil_horizon_7,SOIL_PROFILE_AWC
2403,operykanduvarisa.kanduvarisa@gmail.com-Kanku 7,-19.5119002601,19.7135424055,flat (0-2%),"LINEAR,LINEAR",SANDY LOAM,SANDY LOAM,SANDY LOAM,SANDY LOAM,SANDY LOAM,SANDY LOAM,,10.055385
,,,,,,SAND   :  65.0,,,,,,
,,,,,,SILT   :  25.0,,,,,,
,,,,,,CLAY   :  10.0,,,,,,
,,,,,,BULK   :  1.46,,,,,,
""
""
WISE3_ID,LATITUDE,LONGITUDE,COUNTRY,SOLDEP,FAO_74,USCL,SLOPE,SIM_STAGE_1,SIM_STAGE_2,HONU,TOPDEP,BOTDEP,ORGC,TOTN,CACO3,GYPSUM,PHH2O,PHKCL,PHCACL2,ECE,EXCA,EXMG,EXNA,EXK,EXALUM,EXACID,CECSOIL,BSAT,SAND,SILT,CLAY,GRAVEL,BULKDENS,VMC1,VMC2,VMC3,PROFILE_AWC
BW0175,-18.6775,25.7852777778,Botswana,60,Lc,,,0.99932376626,0.947063582703
,,,,,,,,,,1,0,10,4,,,,7.3,,6.4,,14.6,8.9,,0.6,0,0,24.1,,52,25,23,,,,,,4.92851231923
,,,,,,,,,,2,10,40,3,,,,7.2,,6.7,,24.4,11.3,0.1,0.4,0,0,29.4,100,46,24,30,,,,,,4.92851231923
,,,,,,,,,,3,40,60,,,,,,,,,,,,,,,,,,,,,,,,,4.92851231923
BW0779,-18.6011111111,25.6730555556,Botswana,80,Lc,,,0.999535218135,0.940991772392
,,,,,,,,,,1,0,10,11,,,,6.7,,6.2,0.1,13.9,4.1,0.1,0.9,0.1,0.1,24.3,78,45,34,21,,,,,,7.90566285502
,,,,,,,,,,2,10,35,9,,,,6.6,,6.1,0.1,19.3,4.1,0.2,0.4,0.1,0.1,30.7,78,44,28,28,,,,,,7.90566285502
,,,,,,,,,,3,35,60,9,,,,7.1,,6.5,0.2,22.7,3.6,0.2,0.4,0,0,30.2,89,40,27,33,,,,,,7.90566285502
,,,,,,,,,,4,60,80,,,,,,,,,,,,,,,,,,,,,,,,,7.90566285502
BW0176,-18.4766666667,25.5836111111,Botswana,50,Lc,,,0.999326612438,0.897324572406
,,,,,,,,,,1,0,10,7,,0,0,6.4,,6.1,0.1,13.7,5.2,0.1,0.8,,,23.4,85,44,28,28,,,,,,4.12242578067
,,,,,,,,,,2,10,30,6,,0,0,6.2,,5.9,0.1,22.9,6.7,0.2,0.3,,,37.2,81,25,25,50,,,,,,4.12242578067
,,,,,,,,,,3,30,50,,,,,,,,,,,,,,,,,,,,,,,,,4.12242578067
BW0145,-18.5138888889,25.6141666667,Botswana,45,Re,,,0.99932866568,0.882167258517
,,,,,,,,,,1,0,15,6,,,,7.2,,6.7,,17.3,5.5,0.1,0.2,0,0,24.1,96,56,22,22,,,,,,1.72609070171
,,,,,,,,,,2,15,25,,,,,,,,,,,,,,,,,,,,,,,,,1.72609070171
,,,,,,,,,,3,25,45,,,,,,,,,,,,,,,,,,,,,,,,,1.72609070171
BW0182,-18.4897222222,25.5961111111,Botswana,65,Re,,,0.999372231711,0.879666173107
,,,,,,,,,,1,0,15,8,,,,6.8,,6.4,,18.2,5.8,0.1,1.2,0.1,0.1,22.8,100,55,22,23,,,,,,1.73849066434
,,,,,,,,,,2,15,40,,,,,,,,,,,,,,,,,,,,,,,,,1.73849066434
,,,,,,,,,,3,40,65,,,,,,,,,,,,,,,,,,,,,,,,,1.73849066434
