USER_ID,NAME,LATITUDE,LONGITUDE,SLOPE,SLOPE_SHAPE,texture_for_soil_horizon_1,texture_for_soil_horizon_2,texture_for_soil_horizon_3,texture_for_soil_horizon_4,texture_for_soil_horizon_5,texture_for_soil_horizon_6,texture_for_soil_horizon_7,SOIL_PROFILE_AWC
2397,corwaal@gmail.com-kano 3,-19.1686127102,19.4064851291,7%,"CONCAVE,LINEAR",LOAMY SAND,LOAMY SAND,LOAMY SAND,LOAMY SAND,LOAMY SAND,SAND,,3.978751
,,,,,,SAND   :  80.0,,,,,,
,,,,,,SILT   :  15.0,,,,,,
,,,,,,CLAY   :  5.0,,,,,,
,,,,,,BULK   :  1.43,,,,,,
""
""
WISE3_ID,LATITUDE,LONGITUDE,COUNTRY,SOLDEP,FAO_74,USCL,SLOPE,SIM_STAGE_1,SIM_STAGE_2,HONU,TOPDEP,BOTDEP,ORGC,TOTN,CACO3,GYPSUM,PHH2O,PHKCL,PHCACL2,ECE,EXCA,EXMG,EXNA,EXK,EXALUM,EXACID,CECSOIL,BSAT,SAND,SILT,CLAY,GRAVEL,BULKDENS,VMC1,VMC2,VMC3,PROFILE_AWC
BW0160,-18.8225,25.6705555556,Botswana,100,Lo,,,0.999494534114,0.932620769539
,,,,,,,,,,1,0,20,4,,,,6.7,,6.1,,5.9,1.2,,0.2,0.1,0.1,7.9,,91,4,5,,,,,,4.23272332757
,,,,,,,,,,2,20,65,1,,,,7.4,,6.7,,8.6,0.9,,0.1,0,0,9.9,,88,2,10,,,,,,4.23272332757
,,,,,,,,,,3,65,100,1,,,,6.9,,6.5,,11.3,1.1,,0.1,0.1,0.1,22.6,,81,4,15,,,,,,4.23272332757
BW0180,-18.6197222222,25.6280555556,Botswana,170,Nd,,,0.999628522843,0.930195284065
,,,,,,,,,,1,0,25,2,,0,0,4.7,,4.1,0.1,0.6,0.5,,0.1,,,3,,92,4,4,,,,,,5.48505340552
,,,,,,,,,,2,25,65,1,,0,0,4.4,,3.4,0.1,0.1,0.9,,0.1,,,4,,88,3,9,,,,,,5.48505340552
,,,,,,,,,,3,65,135,1,,0,0,4.6,,3.7,0.1,0.1,1.1,0.01,0.2,,,3.5,40,81,4,15,,,,,,5.48505340552
,,,,,,,,,,4,135,170,1,,0,0,4.6,,3.5,0.1,,1.4,,0.3,,,4,,73,8,19,,,,,,5.48505340552
BW0615,-18.4838888889,25.3488888889,Botswana,90,Lg,,,0.999496101581,0.929556419832
,,,,,,,,,,1,0,15,6,,0,0,6,,5.7,0.1,2.4,1.4,,0.3,,,6.4,,88,4,8,,,,,,5.61482103524
,,,,,,,,,,2,15,22,4,,0,0,5.8,,5.5,0.1,2.1,1.3,,0.2,,,5.3,,88,5,7,,,,,,5.61482103524
,,,,,,,,,,3,22,60,,,0,0,5.6,,5.2,0.1,8.1,3.9,,0.3,,,15,,72,2,26,,,,,,5.61482103524
,,,,,,,,,,4,60,70,2,,0,0,5.9,,5.7,0.1,10.7,3.8,,0.4,,,17.1,,69,3,28,,,,,,5.61482103524
,,,,,,,,,,5,70,90,,,,,,,,,,,,,,,,,,,,,,,,,5.61482103524
BW0673,-18.4916666667,25.3516666667,Botswana,110,We,,,0.999541989464,0.928436711122
,,,,,,,,,,1,0,20,,,0,0,5.8,,5.7,0.1,2.1,5.8,0.1,0.1,,,2.8,100,93,5,2,,,,,,2.14183663418
,,,,,,,,,,2,20,53,,,0,0,6.1,,5.7,0.1,0.7,1.8,0.1,,,,0.8,,,,,,,,,,2.14183663418
,,,,,,,,,,3,53,90,,,0,0,6.1,,5.7,0.1,0.7,3.6,0.1,,,,1.7,,94,3,3,,,,,,2.14183663418
,,,,,,,,,,4,90,110,,,0,0,5.5,,5.4,0.1,6.2,9.7,0.1,0.1,,,15.6,100,76,3,21,,,,,,2.14183663418
BW0647,-18.4691666667,25.3291666667,Botswana,120,Lo,,,0.99953291438,0.921308477528
,,,,,,,,,,1,0,20,5,,1,1,6.5,,6.4,0.1,2.8,0.7,,0.1,0.1,0.1,4.6,,90,3,7,,,,,,4.11671140997
,,,,,,,,,,2,20,70,4,,0,0,5.8,,5.7,0.1,4.7,1.3,,0.2,,,6.7,,87,4,9,,,,,,4.11671140997
,,,,,,,,,,3,70,115,1,,0,0,6.2,,5.9,0.1,5.3,1.5,,0.1,,,8.8,,83,7,10,,,,,,4.11671140997
,,,,,,,,,,4,115,120,,,,,,,,,,,,,,,,,,,,,,,,,4.11671140997
